NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 129 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.55, major to minor axis ratio is 3.37, bounding box occupancy is 0.51, spread on XZ axes is 132.94, height-to-standing ratio is 0.97, body height is 1786.1 mm, distance from floor is 919.8 mm, and floor contact ratio is 0.1782."
"In frame 130 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.63, major to minor axis ratio is 3.31, bounding box occupancy is 0.53, spread on XZ axes is 135.79, height-to-standing ratio is 0.96, body height is 1771.4 mm, distance from floor is 919.9 mm, and floor contact ratio is 0.1795."
"In frame 131 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.08, major to minor axis ratio is 3.12, bounding box occupancy is 0.43, spread on XZ axes is 143.03, height-to-standing ratio is 0.96, body height is 1767.5 mm, distance from floor is 914.3 mm, and floor contact ratio is 0.1862."
"In frame 132 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.64, major to minor axis ratio is 3.25, bounding box occupancy is 0.55, spread on XZ axes is 139.15, height-to-standing ratio is 0.96, body height is 1760.3 mm, distance from floor is 908.0 mm, and floor contact ratio is 0.1920."
"In frame 133 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.69, major to minor axis ratio is 3.13, bounding box occupancy is 0.55, spread on XZ axes is 138.59, height-to-standing ratio is 0.96, body height is 1762.2 mm, distance from floor is 934.4 mm, and floor contact ratio is 0.1600."
"In frame 134 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.67, major to minor axis ratio is 3.14, bounding box occupancy is 0.56, spread on XZ axes is 140.50, height-to-standing ratio is 0.95, body height is 1750.4 mm, distance from floor is 914.7 mm, and floor contact ratio is 0.1783."
"In frame 135 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.69, major to minor axis ratio is 3.05, bounding box occupancy is 0.55, spread on XZ axes is 140.10, height-to-standing ratio is 0.95, body height is 1753.2 mm, distance from floor is 943.0 mm, and floor contact ratio is 0.1526."
"In frame 136 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 3.03, bounding box occupancy is 0.61, spread on XZ axes is 143.02, height-to-standing ratio is 0.95, body height is 1750.7 mm, distance from floor is 936.0 mm, and floor contact ratio is 0.1594."
"In frame 137 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.90, major to minor axis ratio is 3.15, bounding box occupancy is 0.61, spread on XZ axes is 140.34, height-to-standing ratio is 0.96, body height is 1761.5 mm, distance from floor is 924.5 mm, and floor contact ratio is 0.1685."
"In frame 138 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.65, major to minor axis ratio is 3.07, bounding box occupancy is 0.55, spread on XZ axes is 144.10, height-to-standing ratio is 0.96, body height is 1766.8 mm, distance from floor is 923.2 mm, and floor contact ratio is 0.1666."
"In frame 139 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 3.04, bounding box occupancy is 0.59, spread on XZ axes is 140.65, height-to-standing ratio is 0.97, body height is 1789.4 mm, distance from floor is 940.8 mm, and floor contact ratio is 0.1534."
"In frame 140 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.83, major to minor axis ratio is 2.93, bounding box occupancy is 0.60, spread on XZ axes is 139.03, height-to-standing ratio is 0.96, body height is 1762.0 mm, distance from floor is 967.0 mm, and floor contact ratio is 0.1289."
"In frame 141 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.77, major to minor axis ratio is 2.94, bounding box occupancy is 0.59, spread on XZ axes is 138.82, height-to-standing ratio is 0.96, body height is 1762.1 mm, distance from floor is 955.0 mm, and floor contact ratio is 0.1327."
"In frame 142 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.64, major to minor axis ratio is 3.00, bounding box occupancy is 0.57, spread on XZ axes is 141.98, height-to-standing ratio is 0.96, body height is 1763.6 mm, distance from floor is 943.1 mm, and floor contact ratio is 0.1459."
"In frame 143 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.76, major to minor axis ratio is 2.97, bounding box occupancy is 0.58, spread on XZ axes is 138.12, height-to-standing ratio is 0.96, body height is 1768.6 mm, distance from floor is 960.5 mm, and floor contact ratio is 0.1326."
"In frame 144 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.72, major to minor axis ratio is 3.11, bounding box occupancy is 0.56, spread on XZ axes is 134.88, height-to-standing ratio is 0.96, body height is 1765.5 mm, distance from floor is 953.1 mm, and floor contact ratio is 0.1451."
"In frame 145 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.66, major to minor axis ratio is 3.19, bounding box occupancy is 0.56, spread on XZ axes is 133.41, height-to-standing ratio is 0.96, body height is 1772.1 mm, distance from floor is 952.3 mm, and floor contact ratio is 0.1524."
"In frame 146 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.68, major to minor axis ratio is 3.21, bounding box occupancy is 0.55, spread on XZ axes is 132.40, height-to-standing ratio is 0.96, body height is 1775.0 mm, distance from floor is 959.3 mm, and floor contact ratio is 0.1554."
"In frame 147 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.60, major to minor axis ratio is 3.22, bounding box occupancy is 0.52, spread on XZ axes is 129.37, height-to-standing ratio is 0.97, body height is 1781.2 mm, distance from floor is 980.5 mm, and floor contact ratio is 0.1412."
"In frame 148 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.62, major to minor axis ratio is 3.19, bounding box occupancy is 0.51, spread on XZ axes is 128.59, height-to-standing ratio is 0.96, body height is 1766.5 mm, distance from floor is 998.1 mm, and floor contact ratio is 0.1326."
"In frame 149 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.63, major to minor axis ratio is 3.06, bounding box occupancy is 0.48, spread on XZ axes is 128.34, height-to-standing ratio is 0.97, body height is 1780.5 mm, distance from floor is 1033.4 mm, and floor contact ratio is 0.1065."
"In frame 150 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.64, major to minor axis ratio is 3.04, bounding box occupancy is 0.47, spread on XZ axes is 128.03, height-to-standing ratio is 0.97, body height is 1782.3 mm, distance from floor is 1041.1 mm, and floor contact ratio is 0.1037."
"In frame 151 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.63, major to minor axis ratio is 3.27, bounding box occupancy is 0.48, spread on XZ axes is 126.03, height-to-standing ratio is 0.97, body height is 1776.5 mm, distance from floor is 1009.9 mm, and floor contact ratio is 0.1341."
"In frame 152 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.70, major to minor axis ratio is 3.38, bounding box occupancy is 0.50, spread on XZ axes is 128.41, height-to-standing ratio is 0.97, body height is 1791.6 mm, distance from floor is 981.9 mm, and floor contact ratio is 0.1558."
"In frame 153 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.32, major to minor axis ratio is 3.44, bounding box occupancy is 0.45, spread on XZ axes is 131.51, height-to-standing ratio is 0.97, body height is 1783.8 mm, distance from floor is 953.6 mm, and floor contact ratio is 0.1806."
"In frame 154 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.83, major to minor axis ratio is 3.47, bounding box occupancy is 0.54, spread on XZ axes is 129.12, height-to-standing ratio is 0.97, body height is 1787.6 mm, distance from floor is 954.0 mm, and floor contact ratio is 0.1732."
"In frame 155 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.78, major to minor axis ratio is 3.41, bounding box occupancy is 0.54, spread on XZ axes is 131.31, height-to-standing ratio is 0.96, body height is 1768.0 mm, distance from floor is 950.0 mm, and floor contact ratio is 0.1711."
"In frame 156 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.82, major to minor axis ratio is 3.33, bounding box occupancy is 0.55, spread on XZ axes is 134.15, height-to-standing ratio is 0.96, body height is 1764.4 mm, distance from floor is 945.6 mm, and floor contact ratio is 0.1672."
"In frame 157 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.01, major to minor axis ratio is 3.43, bounding box occupancy is 0.57, spread on XZ axes is 128.55, height-to-standing ratio is 0.96, body height is 1773.5 mm, distance from floor is 949.0 mm, and floor contact ratio is 0.1593."
"In frame 158 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.78, major to minor axis ratio is 3.42, bounding box occupancy is 0.53, spread on XZ axes is 128.71, height-to-standing ratio is 0.97, body height is 1781.0 mm, distance from floor is 952.7 mm, and floor contact ratio is 0.1562."
"In frame 159 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.13, major to minor axis ratio is 3.50, bounding box occupancy is 0.58, spread on XZ axes is 124.69, height-to-standing ratio is 0.96, body height is 1770.7 mm, distance from floor is 955.6 mm, and floor contact ratio is 0.1515."
"In frame 160 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.30, major to minor axis ratio is 3.67, bounding box occupancy is 0.61, spread on XZ axes is 119.93, height-to-standing ratio is 0.96, body height is 1771.8 mm, distance from floor is 949.8 mm, and floor contact ratio is 0.1590."
"In frame 161 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.23, major to minor axis ratio is 3.71, bounding box occupancy is 0.57, spread on XZ axes is 117.34, height-to-standing ratio is 0.96, body height is 1763.0 mm, distance from floor is 969.6 mm, and floor contact ratio is 0.1514."
"In frame 162 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.52, major to minor axis ratio is 3.86, bounding box occupancy is 0.61, spread on XZ axes is 113.08, height-to-standing ratio is 0.96, body height is 1758.9 mm, distance from floor is 971.9 mm, and floor contact ratio is 0.1550."
"In frame 163 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.60, major to minor axis ratio is 3.92, bounding box occupancy is 0.61, spread on XZ axes is 109.83, height-to-standing ratio is 0.96, body height is 1767.9 mm, distance from floor is 977.8 mm, and floor contact ratio is 0.1530."
"In frame 164 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.62, major to minor axis ratio is 4.00, bounding box occupancy is 0.61, spread on XZ axes is 107.23, height-to-standing ratio is 0.97, body height is 1776.6 mm, distance from floor is 977.5 mm, and floor contact ratio is 0.1507."
"In frame 165 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.64, major to minor axis ratio is 3.97, bounding box occupancy is 0.63, spread on XZ axes is 106.37, height-to-standing ratio is 0.96, body height is 1770.6 mm, distance from floor is 985.3 mm, and floor contact ratio is 0.1382."
"In frame 166 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.63, major to minor axis ratio is 3.88, bounding box occupancy is 0.60, spread on XZ axes is 105.08, height-to-standing ratio is 0.96, body height is 1764.5 mm, distance from floor is 1010.1 mm, and floor contact ratio is 0.1072."
"In frame 167 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.50, major to minor axis ratio is 3.81, bounding box occupancy is 0.58, spread on XZ axes is 105.73, height-to-standing ratio is 0.97, body height is 1783.3 mm, distance from floor is 1011.9 mm, and floor contact ratio is 0.0932."
"In frame 168 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.45, major to minor axis ratio is 3.82, bounding box occupancy is 0.58, spread on XZ axes is 106.71, height-to-standing ratio is 0.97, body height is 1785.3 mm, distance from floor is 1001.8 mm, and floor contact ratio is 0.0996."
"In frame 169 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.01, major to minor axis ratio is 3.98, bounding box occupancy is 0.54, spread on XZ axes is 110.87, height-to-standing ratio is 0.96, body height is 1766.4 mm, distance from floor is 954.4 mm, and floor contact ratio is 0.1444."
"In frame 170 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.41, major to minor axis ratio is 3.83, bounding box occupancy is 0.62, spread on XZ axes is 112.19, height-to-standing ratio is 0.96, body height is 1764.6 mm, distance from floor is 955.2 mm, and floor contact ratio is 0.1387."
"In frame 171 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.06, major to minor axis ratio is 3.70, bounding box occupancy is 0.57, spread on XZ axes is 120.41, height-to-standing ratio is 0.97, body height is 1783.4 mm, distance from floor is 942.1 mm, and floor contact ratio is 0.1500."
"In frame 172 of sequence 'adl-18', the person is normal. The body height to width ratio is 3.06, major to minor axis ratio is 3.47, bounding box occupancy is 0.57, spread on XZ axes is 125.06, height-to-standing ratio is 0.95, body height is 1745.2 mm, distance from floor is 957.6 mm, and floor contact ratio is 0.1352."
"In frame 173 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.46, major to minor axis ratio is 3.28, bounding box occupancy is 0.45, spread on XZ axes is 137.97, height-to-standing ratio is 0.98, body height is 1801.2 mm, distance from floor is 947.6 mm, and floor contact ratio is 0.1479."
"In frame 174 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.47, major to minor axis ratio is 3.13, bounding box occupancy is 0.47, spread on XZ axes is 142.88, height-to-standing ratio is 0.97, body height is 1781.4 mm, distance from floor is 955.0 mm, and floor contact ratio is 0.1408."
"In frame 175 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.53, major to minor axis ratio is 3.02, bounding box occupancy is 0.47, spread on XZ axes is 144.78, height-to-standing ratio is 0.99, body height is 1813.6 mm, distance from floor is 964.0 mm, and floor contact ratio is 0.1297."
"In frame 176 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.68, major to minor axis ratio is 2.96, bounding box occupancy is 0.51, spread on XZ axes is 147.15, height-to-standing ratio is 0.96, body height is 1765.1 mm, distance from floor is 967.1 mm, and floor contact ratio is 0.1279."
"In frame 177 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.65, major to minor axis ratio is 2.88, bounding box occupancy is 0.51, spread on XZ axes is 151.05, height-to-standing ratio is 0.97, body height is 1778.3 mm, distance from floor is 965.5 mm, and floor contact ratio is 0.1285."
"In frame 178 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.71, major to minor axis ratio is 2.79, bounding box occupancy is 0.53, spread on XZ axes is 154.30, height-to-standing ratio is 0.97, body height is 1781.9 mm, distance from floor is 966.8 mm, and floor contact ratio is 0.1252."
"In frame 179 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.64, major to minor axis ratio is 2.71, bounding box occupancy is 0.53, spread on XZ axes is 157.66, height-to-standing ratio is 0.94, body height is 1738.0 mm, distance from floor is 961.2 mm, and floor contact ratio is 0.1281."
"In frame 180 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.69, major to minor axis ratio is 2.68, bounding box occupancy is 0.54, spread on XZ axes is 159.19, height-to-standing ratio is 0.95, body height is 1754.5 mm, distance from floor is 966.6 mm, and floor contact ratio is 0.1234."
"In frame 181 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.65, major to minor axis ratio is 2.66, bounding box occupancy is 0.53, spread on XZ axes is 163.42, height-to-standing ratio is 0.96, body height is 1761.5 mm, distance from floor is 959.0 mm, and floor contact ratio is 0.1317."
"In frame 182 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.68, major to minor axis ratio is 2.74, bounding box occupancy is 0.52, spread on XZ axes is 160.81, height-to-standing ratio is 0.96, body height is 1757.5 mm, distance from floor is 997.6 mm, and floor contact ratio is 0.0874."
"In frame 183 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.61, major to minor axis ratio is 2.64, bounding box occupancy is 0.52, spread on XZ axes is 164.00, height-to-standing ratio is 0.95, body height is 1738.8 mm, distance from floor is 1000.0 mm, and floor contact ratio is 0.0813."
"In frame 184 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.58, major to minor axis ratio is 2.55, bounding box occupancy is 0.54, spread on XZ axes is 165.39, height-to-standing ratio is 0.93, body height is 1719.4 mm, distance from floor is 1005.8 mm, and floor contact ratio is 0.0734."
"In frame 185 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.54, major to minor axis ratio is 2.54, bounding box occupancy is 0.53, spread on XZ axes is 165.29, height-to-standing ratio is 0.93, body height is 1703.1 mm, distance from floor is 1006.8 mm, and floor contact ratio is 0.0744."
"In frame 186 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.57, major to minor axis ratio is 2.46, bounding box occupancy is 0.53, spread on XZ axes is 165.40, height-to-standing ratio is 0.91, body height is 1680.3 mm, distance from floor is 993.4 mm, and floor contact ratio is 0.0763."
"In frame 187 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.52, major to minor axis ratio is 2.39, bounding box occupancy is 0.54, spread on XZ axes is 163.17, height-to-standing ratio is 0.90, body height is 1661.4 mm, distance from floor is 993.5 mm, and floor contact ratio is 0.0719."
"In frame 188 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.38, major to minor axis ratio is 2.31, bounding box occupancy is 0.56, spread on XZ axes is 162.68, height-to-standing ratio is 0.90, body height is 1661.2 mm, distance from floor is 994.4 mm, and floor contact ratio is 0.0680."
"In frame 189 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.31, major to minor axis ratio is 2.25, bounding box occupancy is 0.54, spread on XZ axes is 161.65, height-to-standing ratio is 0.90, body height is 1646.9 mm, distance from floor is 994.4 mm, and floor contact ratio is 0.0639."
"In frame 190 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.41, major to minor axis ratio is 2.35, bounding box occupancy is 0.51, spread on XZ axes is 161.36, height-to-standing ratio is 0.88, body height is 1624.5 mm, distance from floor is 971.4 mm, and floor contact ratio is 0.0803."
"In frame 191 of sequence 'adl-18', the person is normal. The body height to width ratio is 2.34, major to minor axis ratio is 2.16, bounding box occupancy is 0.51, spread on XZ axes is 162.10, height-to-standing ratio is 0.87, body height is 1609.4 mm, distance from floor is 979.6 mm, and floor contact ratio is 0.0619."
"In frame 192 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.87, major to minor axis ratio is 1.76, bounding box occupancy is 0.59, spread on XZ axes is 162.61, height-to-standing ratio is 0.85, body height is 1570.0 mm, distance from floor is 1030.3 mm, and floor contact ratio is 0.0018."
"In frame 193 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.77, major to minor axis ratio is 1.72, bounding box occupancy is 0.62, spread on XZ axes is 163.18, height-to-standing ratio is 0.83, body height is 1535.2 mm, distance from floor is 1031.4 mm, and floor contact ratio is 0.0000."
"In frame 194 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.71, major to minor axis ratio is 1.64, bounding box occupancy is 0.62, spread on XZ axes is 164.32, height-to-standing ratio is 0.82, body height is 1505.5 mm, distance from floor is 1017.9 mm, and floor contact ratio is 0.0000."
"In frame 195 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.64, major to minor axis ratio is 1.59, bounding box occupancy is 0.63, spread on XZ axes is 164.91, height-to-standing ratio is 0.81, body height is 1481.8 mm, distance from floor is 1006.6 mm, and floor contact ratio is 0.0000."
"In frame 196 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.59, major to minor axis ratio is 1.53, bounding box occupancy is 0.63, spread on XZ axes is 165.19, height-to-standing ratio is 0.80, body height is 1470.4 mm, distance from floor is 987.4 mm, and floor contact ratio is 0.0000."
"In frame 197 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.53, major to minor axis ratio is 1.50, bounding box occupancy is 0.64, spread on XZ axes is 166.37, height-to-standing ratio is 0.77, body height is 1416.2 mm, distance from floor is 972.7 mm, and floor contact ratio is 0.0000."
"In frame 198 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.43, major to minor axis ratio is 1.42, bounding box occupancy is 0.66, spread on XZ axes is 167.55, height-to-standing ratio is 0.74, body height is 1364.6 mm, distance from floor is 948.5 mm, and floor contact ratio is 0.0000."
"In frame 199 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.41, major to minor axis ratio is 1.37, bounding box occupancy is 0.66, spread on XZ axes is 168.94, height-to-standing ratio is 0.74, body height is 1353.5 mm, distance from floor is 929.8 mm, and floor contact ratio is 0.0000."
"In frame 200 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.38, major to minor axis ratio is 1.33, bounding box occupancy is 0.66, spread on XZ axes is 169.54, height-to-standing ratio is 0.72, body height is 1317.5 mm, distance from floor is 911.6 mm, and floor contact ratio is 0.0000."
"In frame 201 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.35, major to minor axis ratio is 1.29, bounding box occupancy is 0.66, spread on XZ axes is 170.81, height-to-standing ratio is 0.70, body height is 1294.5 mm, distance from floor is 891.6 mm, and floor contact ratio is 0.0000."
"In frame 202 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.35, major to minor axis ratio is 1.25, bounding box occupancy is 0.67, spread on XZ axes is 172.37, height-to-standing ratio is 0.70, body height is 1280.2 mm, distance from floor is 877.0 mm, and floor contact ratio is 0.0000."
"In frame 203 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.30, major to minor axis ratio is 1.22, bounding box occupancy is 0.65, spread on XZ axes is 174.94, height-to-standing ratio is 0.68, body height is 1253.2 mm, distance from floor is 858.0 mm, and floor contact ratio is 0.0000."
"In frame 204 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.22, major to minor axis ratio is 1.17, bounding box occupancy is 0.66, spread on XZ axes is 176.16, height-to-standing ratio is 0.67, body height is 1224.2 mm, distance from floor is 843.9 mm, and floor contact ratio is 0.0000."
"In frame 205 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.18, major to minor axis ratio is 1.14, bounding box occupancy is 0.64, spread on XZ axes is 178.03, height-to-standing ratio is 0.66, body height is 1209.7 mm, distance from floor is 824.5 mm, and floor contact ratio is 0.0000."
"In frame 206 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.18, major to minor axis ratio is 1.15, bounding box occupancy is 0.62, spread on XZ axes is 177.51, height-to-standing ratio is 0.65, body height is 1195.5 mm, distance from floor is 815.0 mm, and floor contact ratio is 0.0006."
"In frame 207 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.18, major to minor axis ratio is 1.13, bounding box occupancy is 0.61, spread on XZ axes is 177.83, height-to-standing ratio is 0.64, body height is 1178.7 mm, distance from floor is 798.3 mm, and floor contact ratio is 0.0024."
"In frame 208 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.19, major to minor axis ratio is 1.11, bounding box occupancy is 0.60, spread on XZ axes is 176.63, height-to-standing ratio is 0.64, body height is 1171.5 mm, distance from floor is 788.5 mm, and floor contact ratio is 0.0017."
"In frame 209 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.19, major to minor axis ratio is 1.10, bounding box occupancy is 0.60, spread on XZ axes is 175.07, height-to-standing ratio is 0.63, body height is 1154.8 mm, distance from floor is 772.7 mm, and floor contact ratio is 0.0058."
"In frame 210 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.49, major to minor axis ratio is 1.33, bounding box occupancy is 0.50, spread on XZ axes is 170.75, height-to-standing ratio is 0.62, body height is 1134.1 mm, distance from floor is 727.5 mm, and floor contact ratio is 0.0655."
"In frame 211 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.17, major to minor axis ratio is 1.08, bounding box occupancy is 0.65, spread on XZ axes is 172.88, height-to-standing ratio is 0.61, body height is 1125.4 mm, distance from floor is 751.5 mm, and floor contact ratio is 0.0022."
"In frame 212 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.68, major to minor axis ratio is 1.43, bounding box occupancy is 0.49, spread on XZ axes is 168.61, height-to-standing ratio is 0.61, body height is 1117.8 mm, distance from floor is 698.0 mm, and floor contact ratio is 0.0863."
"In frame 213 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.17, major to minor axis ratio is 1.06, bounding box occupancy is 0.63, spread on XZ axes is 170.86, height-to-standing ratio is 0.60, body height is 1105.1 mm, distance from floor is 735.8 mm, and floor contact ratio is 0.0040."
"In frame 214 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.05, major to minor axis ratio is 1.06, bounding box occupancy is 0.67, spread on XZ axes is 172.74, height-to-standing ratio is 0.60, body height is 1095.6 mm, distance from floor is 732.0 mm, and floor contact ratio is 0.0000."
"In frame 215 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.07, major to minor axis ratio is 1.06, bounding box occupancy is 0.65, spread on XZ axes is 173.22, height-to-standing ratio is 0.61, body height is 1118.1 mm, distance from floor is 729.8 mm, and floor contact ratio is 0.0000."
"In frame 216 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.05, major to minor axis ratio is 1.09, bounding box occupancy is 0.64, spread on XZ axes is 175.97, height-to-standing ratio is 0.61, body height is 1114.8 mm, distance from floor is 728.1 mm, and floor contact ratio is 0.0000."
"In frame 217 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.10, bounding box occupancy is 0.63, spread on XZ axes is 177.93, height-to-standing ratio is 0.60, body height is 1110.1 mm, distance from floor is 726.3 mm, and floor contact ratio is 0.0000."
"In frame 218 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.04, major to minor axis ratio is 1.10, bounding box occupancy is 0.62, spread on XZ axes is 179.21, height-to-standing ratio is 0.61, body height is 1126.2 mm, distance from floor is 726.8 mm, and floor contact ratio is 0.0000."
"In frame 219 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.02, major to minor axis ratio is 1.13, bounding box occupancy is 0.62, spread on XZ axes is 180.97, height-to-standing ratio is 0.61, body height is 1121.0 mm, distance from floor is 723.1 mm, and floor contact ratio is 0.0000."
"In frame 220 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.04, major to minor axis ratio is 1.13, bounding box occupancy is 0.61, spread on XZ axes is 182.45, height-to-standing ratio is 0.61, body height is 1130.7 mm, distance from floor is 724.0 mm, and floor contact ratio is 0.0000."
"In frame 221 of sequence 'adl-18', the person is normal. The body height to width ratio is 1.01, major to minor axis ratio is 1.13, bounding box occupancy is 0.62, spread on XZ axes is 183.48, height-to-standing ratio is 0.61, body height is 1123.9 mm, distance from floor is 724.3 mm, and floor contact ratio is 0.0000."
"In frame 222 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.94, major to minor axis ratio is 1.15, bounding box occupancy is 0.66, spread on XZ axes is 184.06, height-to-standing ratio is 0.60, body height is 1110.6 mm, distance from floor is 723.0 mm, and floor contact ratio is 0.0000."
"In frame 223 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.96, major to minor axis ratio is 1.13, bounding box occupancy is 0.64, spread on XZ axes is 183.00, height-to-standing ratio is 0.62, body height is 1132.3 mm, distance from floor is 724.1 mm, and floor contact ratio is 0.0000."
"In frame 224 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.95, major to minor axis ratio is 1.12, bounding box occupancy is 0.65, spread on XZ axes is 182.82, height-to-standing ratio is 0.62, body height is 1132.2 mm, distance from floor is 723.7 mm, and floor contact ratio is 0.0000."
"In frame 225 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.95, major to minor axis ratio is 1.11, bounding box occupancy is 0.64, spread on XZ axes is 182.67, height-to-standing ratio is 0.61, body height is 1121.6 mm, distance from floor is 723.4 mm, and floor contact ratio is 0.0000."
"In frame 226 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.99, major to minor axis ratio is 1.10, bounding box occupancy is 0.61, spread on XZ axes is 182.54, height-to-standing ratio is 0.64, body height is 1176.4 mm, distance from floor is 723.4 mm, and floor contact ratio is 0.0000."
"In frame 227 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.98, major to minor axis ratio is 1.09, bounding box occupancy is 0.62, spread on XZ axes is 181.79, height-to-standing ratio is 0.64, body height is 1170.3 mm, distance from floor is 723.0 mm, and floor contact ratio is 0.0000."
"In frame 228 of sequence 'adl-18', the person is normal. The body height to width ratio is 0.98, major to minor axis ratio is 1.07, bounding box occupancy is 0.62, spread on XZ axes is 180.20, height-to-standing ratio is 0.63, body height is 1150.6 mm, distance from floor is 723.9 mm, and floor contact ratio is 0.0000."
